ID,TARGET
2,0
5,0
6,1
7,0
9,0
11,0
12,1
15,0
16,1
17,1
19,0
21,0
22,1
24,0
27,1
28,1
30,1
33,0
35,0
37,1
38,1
40,0
41,0
44,1
46,1
47,1
48,0
50,0
52,0
53,0
55,0
57,1
58,1
59,0
62,1
63,0
64,0
65,0
67,0
69,1
70,0
71,1
72,1
73,1
76,1
78,1
79,0
81,1
85,0
86,0
89,0
94,0
96,0
97,1
98,0
99,0
100,0
103,0
104,1
108,1
110,0
112,0
114,0
116,1
117,1
119,1
120,0
121,0
123,1
124,0
126,0
128,0
129,0
133,0
138,0
147,0
149,1
158,0
160,0
164,1
167,1
168,0
174,1
181,1
185,0
187,0
189,0
190,1
194,1
197,1
198,0
201,1
205,1
208,0
211,0
216,0
219,0
223,1
224,0
226,0
229,0
230,0
237,0
238,0
240,1
243,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
255,0
256,1
257,0
260,0
261,1
263,0
264,0
267,1
268,0
272,1
274,1
275,0
277,0
278,0
280,0
281,1
282,0
283,1
284,1
286,0
290,1
291,0
293,0
295,1
297,0
298,0
300,0
304,1
305,1
308,0
309,0
310,1
312,0
313,0
315,1
317,0
318,0
321,1
323,1
325,1
326,0
327,0
328,1
329,0
330,0
331,1
334,1
335,1
336,1
337,1
338,0
339,0
341,0
343,1
346,1
348,0
350,1
351,1
352,0
357,1
358,0
360,0
361,0
364,1
365,0
366,0
367,0
368,1
370,0
372,0
376,0
377,0
379,1
380,0
381,0
385,0
386,0
389,0
391,0
392,0
393,0
395,1
396,0
397,0
398,1
399,1
400,1
401,1
403,1
405,1
406,0
409,0
411,0
413,1
418,1
419,0
422,0
424,1
425,1
427,0
430,0
431,0
434,0
435,0
437,0
438,1
439,0
442,0
446,0
450,1
451,0
452,0
454,0
455,0
463,0
464,0
465,0
467,0
468,1
470,0
472,1
473,0
475,0
476,0
479,0
481,1
483,0
484,1
486,0
487,0
491,0
494,0
495,1
497,1
498,1
499,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,0
516,0
518,0
519,1
520,1
521,0
522,1
524,0
525,0
526,0
528,0
529,1
531,1
532,0
534,1
536,0
539,0
540,0
541,0
542,0
545,1
546,0
552,1
556,0
557,0
559,1
562,0
563,1
565,1
569,0
570,0
574,1
575,1
585,0
589,1
590,1
592,0
593,0
594,0
595,0
597,1
601,1
603,0
604,0
605,0
607,0
608,1
610,0
612,1
613,0
615,0
616,0
617,0
619,0
620,0
621,0
624,1
625,0
628,0
629,0
630,0
632,0
634,0
637,0
638,0
642,0
643,1
644,1
646,0
655,0
660,0
664,0
665,1
666,0
670,0
671,0
672,1
675,1
676,1
677,0
678,1
680,0
683,0
684,0
685,0
691,1
693,1
696,1
698,0
699,0
700,1
703,1
704,1
705,0
707,0
709,1
711,0
713,0
716,0
719,0
721,0
722,0
723,1
724,0
727,0
728,0
729,0
733,0
736,0
739,1
742,0
743,1
744,1
745,0
747,0
749,1
750,0
751,0
752,0
755,0
756,0
762,0
763,0
764,0
765,1
766,0
769,0
770,1
773,0
774,0
776,0
777,0
778,0
779,0
780,0
781,0
786,1
788,0
794,0
796,0
801,1
802,0
803,1
804,0
805,0
809,0
810,0
817,0
819,1
821,0
824,0
825,1
826,0
830,0
831,1
832,0
833,1
837,0
839,0
840,1
841,0
842,0
843,1
844,1
845,0
848,1
853,1
854,0
855,0
856,0
861,1
865,0
866,0
867,1
870,1
871,0
872,0
873,0
874,1
875,1
876,1
879,0
880,0
883,0
884,0
886,1
890,0
892,1
893,0
894,1
895,0
896,0
897,0
899,0
900,0
901,1
902,0
905,1
912,1
914,0
915,1
917,1
918,0
919,0
921,0
922,1
923,0
926,1
929,1
930,0
931,0
937,0
938,1
939,1
941,1
946,0
947,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
960,0
963,0
966,1
969,0
971,1
972,0
975,1
980,0
982,1
983,0
985,0
987,1
988,1
991,0
992,0
995,1
996,0
998,0
1001,0
1002,0
1004,0
1005,1
1010,0
1011,1
1012,0
1013,1
1014,1
1015,1
1016,0
1022,1
1023,0
1024,0
1025,0
1026,0
1028,0
1029,1
1032,0
1034,1
1036,0
1037,1
1039,1
1042,0
1045,0
1046,1
1050,1
1052,1
1055,0
1057,1
1058,0
1060,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,0
1068,1
1070,0
1072,0
1077,0
1078,0
1079,0
1081,0
1082,0
1093,1
1094,0
1102,1
1103,0
1106,0
1107,0
1112,0
1113,0
1114,0
1116,0
1118,0
1120,0
1121,0
1128,0
1130,0
1132,0
1135,0
1138,1
1139,1
1141,0
1143,0
1146,1
1148,0
1149,1
1151,0
1152,0
1153,0
1155,1
1157,0
1160,1
1161,1
1162,0
1164,0
1168,1
1169,0
1174,0
1176,1
1177,0
1178,0
1180,1
1181,0
1182,1
1185,0
1190,1
1194,0
1196,1
1199,0
1200,1
1201,0
1202,1
1206,0
1207,1
1208,0
1212,1
1216,0
1219,1
1221,0
1222,0
1225,0
1227,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,1
1241,0
1244,0
1245,0
1247,0
1250,1
1251,0
1257,0
1259,0
1266,1
1267,0
1268,0
1270,0
1272,1
1273,1
1276,0
1278,0
1279,1
1283,1
1284,0
1286,1
1289,1
1290,1
1292,0
1293,0
1294,0
1296,0
1298,0
1299,0
1301,0
1304,0
1306,0
1308,1
1310,1
1311,0
1312,1
1315,0
1318,0
1319,1
1320,0
1323,0
1324,1
1325,1
1326,1
1329,0
1331,1
1332,1
1335,0
1336,0
1338,1
1340,0
1342,0
1345,0
1347,0
1349,0
1350,1
1351,1
1354,0
1355,1
1356,0
1359,1
1361,0
1362,0
1363,0
1365,1
1366,1
1367,0
1368,0
1369,0
1370,1
1371,0
1372,0
1374,0
1375,0
1376,0
1379,1
1380,0
1383,0
1387,1
1388,0
1389,0
1390,0
1394,0
1396,0
1397,1
1399,0
1400,0
1402,1
1403,1
1404,1
1405,1
1407,0
1409,0
1413,0
1415,0
1416,1
1418,0
1422,0
1423,1
1425,1
1428,0
1429,1
1430,0
1431,0
1432,0
1434,0
1435,0
1436,0
1438,0
1443,1
1445,1
1446,0
1453,0
1456,1
1458,0
1459,0
1460,1
1461,1
1462,0
1463,0
1466,0
1467,0
1469,0
1470,1
1471,0
1473,0
1476,1
1477,1
1481,0
1482,0
1485,0
1486,0
1490,1
1491,0
1493,0
1494,0
1500,1
1504,1
1506,0
1509,0
1512,0
1514,1
1518,0
1520,0
1522,1
1525,0
1526,0
1529,0
1530,0
1532,0
1533,0
1537,0
1542,0
1544,0
1545,0
1546,0
1549,0
1551,0
1552,0
1555,0
1556,0
1558,0
1560,0
1561,1
1562,0
1563,1
1566,1
1568,0
1570,0
1575,0
1577,0
1579,0
1581,1
1582,0
1585,0
1586,0
1587,1
1593,0
1597,1
1599,1
1608,0
1609,0
1612,0
1615,0
1616,1
1618,1
1619,0
1624,0
1625,0
1627,0
1628,0
1635,0
1636,0
1637,0
1640,0
1642,1
1645,0
1647,0
1648,0
1650,0
1651,1
1653,0
1654,0
1655,0
1656,1
1657,0
1659,0
1661,1
1662,1
1663,0
1664,1
1671,0
1673,0
1674,0
1678,0
1680,0
1682,1
1687,0
1689,1
1690,1
1691,1
1692,1
1696,0
1701,0
1702,0
1705,0
1707,0
1711,0
1714,1
1715,1
1716,0
1717,0
1719,0
1723,0
1725,0
1726,0
1728,0
1730,0
1731,0
1736,1
1742,0
1745,1
1747,0
1749,0
1750,1
1751,1
1752,1
1753,1
1754,0
1758,1
1759,1
1760,0
1761,0
1763,0
1765,1
1767,0
1768,0
1769,0
1774,1
1775,0
1776,0
1777,0
1779,1
1780,0
1783,0
1784,1
1785,0
1789,0
1790,0
1792,1
1793,0
1795,0
1796,1
1798,1
1802,0
1803,1
1805,0
1806,0
1809,1
1810,0
1812,0
1813,1
1814,1
1815,0
1817,1
1818,1
1819,0
1820,1
1821,1
1823,1
1826,1
1827,1
1829,0
1831,0
1833,1
1834,1
1837,0
1838,0
1839,0
1840,0
1841,1
1842,1
1844,1
1845,0
1846,0
1847,0
1850,0
1851,0
1852,0
1860,0
1862,0
1864,0
1865,0
1866,0
1867,0
1870,1
1871,1
1872,0
1873,0
1874,1
1876,1
1878,0
1879,0
1884,1
1885,0
1888,0
1893,1
1897,0
1901,1
1902,0
1903,0
1905,1
1907,0
1908,0
1919,0
1921,0
1926,0
1928,1
1930,0
1933,1
1934,0
1935,0
1939,0
1940,0
1942,0
1943,1
1945,0
1946,0
1948,0
1949,0
1952,1
1953,0
1955,0
1959,0
1963,0
1965,1
1967,0
1968,1
1969,0
1970,0
1973,0
1977,0
1978,0
1979,1
1988,0
1991,0
1994,0
1996,0
1997,1
1998,0
2000,1
2002,1
2004,0
2007,0
2008,0
2010,0
2011,0
2012,1
2015,1
2018,1
2019,0
2023,0
2024,0
2026,0
2028,0
2029,0
2031,0
2033,0
2034,1
2037,0
2038,0
2039,1
2040,0
2042,0
2045,0
2048,0
2049,0
2050,1
2057,0
2061,0
2063,1
2067,1
2069,1
2070,0
2072,0
2073,1
2075,0
2076,1
2081,0
2082,0
2084,1
2085,0
2086,0
2088,0
2092,0
2093,0
2094,0
2096,0
2102,0
2103,0
2104,0
2108,0
2109,1
2111,0
2113,0
2116,1
2117,1
2118,0
2119,0
2120,0
2121,1
2124,0
2125,0
2126,1
2127,0
2131,0
2133,1
2134,1
2136,1
2137,0
2139,0
2144,0
2145,0
2146,1
2149,1
2150,1
2151,1
2152,0
2153,0
2157,1
2158,0
2159,1
2161,0
2163,0
2166,1
2169,0
2171,0
2177,0
2179,0
2182,0
2184,0
2185,0
2186,1
2187,1
2188,1
2189,0
2190,0
2194,1
2195,0
2196,1
2198,0
2199,1
2200,0
2201,1
2203,0
2208,0
2209,1
2210,1
2211,0
2213,0
2214,0
2215,0
2216,0
2218,1
2222,0
2224,0
2229,0
2230,0
2234,1
2235,0
2237,0
2239,0
2241,0
2242,0
2243,0
2244,0
2245,1
2248,1
2251,0
2253,0
2254,1
2257,0
2261,1
2262,0
2266,0
2269,1
2275,1
2278,0
2279,1
2283,1
2284,0
2285,1
2286,0
